Date	Transaction Name	Vendor	Subteam	Order ID	Cost	Order Cost
1/24/2015	4 mm end mill	McMaster	Drive	0124a1	53.28	
1/24/2015	Steel Tapered-Roller Bearing, Outer Ring for 1" & 1-1/16" Shaft Diameter, #L44610	McMaster	Task	0124a1	6.58	
1/25/2015	Steel Thrust Ball Bearing Steel Washers, for 1/4" Shaft Diameter, 9/16" OD	McMaster	Task	0125a1	8.84	186.06
1/25/2015	General Purpose Tap Through Hole (Plug), 2.5 x .45mm Thread Size	McMaster	Task	0125a1	9.39	
1/25/2015	General Purpose Tap Closed-End Hole (Bottoming), 2.5 x 0.45mm Thread Size	McMaster	Task	0125a1	9.39	
1/25/2015	PTFE-Lubricated SAE 841 Bronze Flanged Bearing for 3/8" Shaft Diameter, 1/2" OD, 1/2" Length	McMaster	Task	0125a1	2.96	
1/25/2015	Oil-Lubricated SAE 841 Bronze Sleeve Bearing for 3/8" Shaft Diameter, 1/2" OD, 1/4" Length	McMaster	Task	0125a1	1.46	
1/25/2015	SAE 841 Bronze Sleeve Bearing for 3/4" Shaft Diameter, 7/8" OD, 1/2" Length	McMaster	Task	0125a1	1.47	
1/25/2015	Zinc-Plated Grade 2 Steel Nylon-Insert Hex Locknut, 4-40 Thread Size, 1/4" Width, 9/64" Height	McMaster	Task	0125a1	2.74	
1/25/2015	18-8 Stainless Steel Button-Head Socket Cap Screw, 4-40 Thread, 7/8" Length	McMaster	Task	0125a1	5.30	
1/25/2015	Black-Oxide Alloy Steel Socket Head Cap Screw, 4-40 Thread, 1-1/4" Length	McMaster	Task	0125a1	5.30	
1/25/2015	Alloy Steel Knurl-Grip Cup Point Set Screw, 4-40 Thread, 1/2" Long	McMaster	Task	0125a1	8.65	
1/25/2015	18-8 Stainless Steel Button-Head Socket Cap Screw, 6-32 Thread, 1" Length	McMaster	Task	0125a1	5.86	
1/25/2015	18-8 Stainless Steel Button-Head Socket Cap Screw, 8-32 Thread, 5/8" Length	McMaster	Task	0125a1	6.03	
1/25/2015	18-8 Stainless Steel Button-Head Socket Cap Screw, M4 Size, 12 mm Length, .7 mm Pitch	McMaster	Task	0125a1	8.60	
1/25/2015	Black-Oxide Alloy Steel Socket Head Cap Screw, 8-32 Thread, 3/8" Length	McMaster	Task	0125a1	9.16	
1/25/2015	Black-Oxide Alloy Steel Socket Head Cap Screw, 8-32 Thread, 7/8" Length	McMaster	Task	0125a1	11.34	
1/25/2015	18-8 Stainless Steel Button-Head Socket Cap Screw, 8-32 Thread, 1-3/4" Length	McMaster	Task	0125a1	10.49	
1/25/2015	Black Oxide 18-8 Stainless Steel Socket Head Cap Screw 4-40 Thread Size, 5/8" Long	McMaster	Task	0125a1	8.67	
1/25/2015	Metric Brass Pan Head Slotted Machine Screw M2.5 Size, 8mm Length, .45mm Pitch	McMaster	Task	0125a1	4.93	
1/25/2015	2-56 x 1/2" Aluminum Socket Head Cap Screws	McMaster	Task	0125a1	9.91	
1/25/2015	4-40 x 3/4" Aluminum Socket Head Cap Screws	McMaster	Task	0125a1	11.96	
1/25/2015	M3x0.5 x 16mm Alloy Steel Button-Head Socket Cap Screws	McMaster	Task	0125a1	9.47	
1/25/2015	Black-Oxide Class 12.9 Socket Head Cap Screw Alloy Steel, M1.6 Thread, 12 mm Long, 0.35mm Pitch	McMaster	Task	0125a1	7.10	
1/25/2015	Black-Oxide Alloy Steel Socket Head Cap Screw, 8-32 Thread, 7/16" Length	McMaster	Drive	0125a1	0.10	
1/25/2015	18-8 Stainless Steel Metric Pan Head Phillips Machine Screw	McMaster	Task	0125a1	10.87	
1/25/2015	24DP / 2 Lead / 0.5P.D., 9.47° Right Hand Worm	SDP-SI	Task	0125a2	62.90	127.31
1/25/2015	10:1 Gear Ratio, 20 Teeth, Worm Gear	SDP-SI	Task	0125a2	52.62	
1/25/2015	Soil Moisture Sensor ((For Arduino) Compatible) Immersion Gold	miniinthebox	Science	0125a3	4.18	4.18
1/30/2015	Sanding- 120 grit	McMaster	Drive	0130a1	9.49	69.38
1/30/2015	Sanding- 120 grit	McMaster	Drive	0130a1	9.49	
1/30/2015	Sanding- 120 grit	McMaster	Drive	0130a1	9.49	
1/30/2015	Sanding- 120 grit	McMaster	Drive	0130a1	9.49	
1/30/2015	Metric Cheese Head Slotted Machine Screw 18-8 Stainless Steel, M2.5 Size, 20 mm Length, .45 mm Pitch	McMaster	Task	0130a1	14.18	
1/30/2015	Metric Cheese Head Slotted Machine Screw 18-8 Stainless Steel, M2.5 Size, 20 mm Length, .45 mm Pitch	McMaster	Task	0130a1	0.43	
1/30/2015	Metric Cheese Head Slotted Machine Screw 18-8 Stainless Steel, M2.5 Size, 20 mm Length, .45 mm Pitch	McMaster	Task	0130a1	1.47	
1/30/2015	Metric Cheese Head Slotted Machine Screw 18-8 Stainless Steel, M2.5 Size, 20 mm Length, .45 mm Pitch	McMaster	Task	0130a1	6.44	
1/30/2015	Metric Cheese Head Slotted Machine Screw 18-8 Stainless Steel, M2.5 Size, 20 mm Length, .45 mm Pitch	McMaster	Task	0130a1	1.34	
1/30/2015	Metric Cheese Head Slotted Machine Screw 18-8 Stainless Steel, M2.5 Size, 20 mm Length, .45 mm Pitch	McMaster	Task	0130a1	1.39	
1/30/2015	20:1 Gear Ratio, 20 Teeth, Worm Gear	SDP-SI	Task	0130a2	19.89	56.36
1/30/2015	Miniature Pillow-block mounted ball bearings	SDP-SI	Task	0130a2	24.68	
1/30/2015	8 Pin Ampmodu Connector Housing	DigiKey	Electrical	0130a3	18.12	109.81
1/30/2015	8 Pin Ampmodu Connectors	DigiKey	Electrical	0130a3	25.20	
1/30/2015	CONN RCPT 2POS 11.18MM PCB SLDR	DigiKey	Electrical	0130a3	67.82	
1/30/2015	Sabertooth Dual 12A 6V-24V Regenerative Motor Driver	Robotshop	Electrical	0130d1	399.95	399.95
2/1/2015	Aluminum Unthreaded Spacer, 1/4" OD, 1/4" Length, #8 Screw Size	McMaster	Task	0201a1	1.08	6.81
2/4/2015	Thrust Washer, Inside Dia. 0.75 In	Grainger	Task	0204a1	2.66	12.47
2/4/2015	Needle Thrust Bearing, Bore.750 In	Grainger	Task	0204a1	3.88	
2/4/2015	Thrust Washer, Inside Dia. 0.25 In	Grainger	Task	0204a1	4.84	
2/4/2015	Needle Thrust Bearing, Bore.250 In	Grainger	Task	0204a1	5.94	
2/4/2015	Flanged Single Shield Bearing	SDP-SI	Task	0204a2	25.20	34.27
2/4/2015	CONN HDR 2POS PCB SLDR	DigiKey	Electrical	0204a3	101.10	114.64
2/4/2015	220 uF Aluminum Electrolytic Capacitor	DigiKey	Electrical	0204a3	3.30	
2/4/2015	1mF Aluminum Electrolytic Capacitor	DigiKey	Electrical	0204a3	9.00	
2/4/2015	2.2 nf Ceramic Capacitor	DigiKey	Electrical	0204a3	2.04	
2/4/2015	10nf Ceramic Capacitor	DigiKey	Electrical	0204a3	1.62	
2/4/2015	Automotive Connectors HC STD-TIMER KONT	Mouser	Electrical	0204a4	22.00	62.63
2/4/2015	Automotive Connectors STD PW TIMER CONTACT	Mouser	Electrical	0204a4	23.00	
2/4/2015	CONN HSG PLUG 2POS 7.80MM BLACK	DigiKey	Electrical	0204a5	41.40	45.78
2/5/2015	Materials/Work Order	Cornell	CMR	0216a6	255.60	255.60
2/6/2015	1-1/2" Thick x 2-1/2" Width	McMaster	Task	0206a1	20.62	26.18
2/7/2015	Aluminum bar- 2 ft	McMaster	Drive	0207a1	12.75	47.89
2/7/2015	Aluminum bar- 2 ft	McMaster	Drive	0207a1	21.78	
2/7/2015	Aluminum bar- 2 ft	McMaster	Drive	0207a1	6.20	
2/8/2015	Antistatic Wristband	Amazon	Electrical	0208a1	5.68	19.34
2/8/2015	3-Piece Tweezers	Amazon	Electrical	0208a1	5.56	
2/8/2015	18 GAUGE WIRE PICK 4 COLORS 100 FT EA PRIMARY AWG STRANDED COPPER POWER REMOTE	eBay	Electrical	0208a2	27.95	46.84
2/8/2015	Assortment of 5 Colored Wire Rolls 22 Gauge Stranded Core 25ft each 125ft Total	eBay	Electrical	0208a2	18.89	
2/9/2015	Ready-to-Use Antislip Floor Coating Aerosol Epoxy, 12 Ounce	McMaster	Drive	0209a2	18.32	24.12
2/9/2015	34:1 Metal Gearmotor 25Dx52L mm HP	Pololu	Task	0209a1	21.95	96.25
2/9/2015	47:1 Metal Gearmotor 25Dx52L mm HP	Pololu	Task	0209a1	21.95	
2/9/2015	Krylon Krylon 3400 Clear Non-Skid Coating - 11 oz. Aerosol	Sears	Drive	0209a3	13.16	21.76
2/10/2015	Connector Board Rover PCB	OSH Park	Electrical	0210a1	155.30	155.30
2/10/2015	Waterjetting	Cornell	Drive	0210a1	81.00	81.00
2/25/2015	Zinc Plated Steel Hex Nut Low-Strength, M1.6x0.35 Thread, 3.2mm Wide, 1.3mm High	McMaster	Task	0225a2	8.51	13.91
2/25/2015	Needle Thrust Bearing, Bore.750 In	Grainger	Task	0225a1	3.88	2.79
3/8/2015	Easy-to-Machine Polystyrene Sheet	McMaster	Drive	0308a1	8.94	57.04
3/8/2015	Heavy Load Chrome-Silicon Steel Die Spring	McMaster	Drive	0308a1	41.46	
3/8/2015	RP-SMA Male to Female Adapter Cable (200CM-Length)	dealextreme	Electrical	0308a2	7.94	20.68
3/8/2015	2.4GHz 11dBi RP-SMA Omnidirectional WiFi Antenna	dealextreme	Electrical	0308a2	12.74	
3/9/2015	Internal Billing	Cornell	CMR	0309a1	55.52	55.52
3/15/2015	NetPrint	Cornell	Business	0315a1	10.52	10.52
4/15/2015	Travel (Hotel)	Cornell	CMR	0415a1	1,185.00	1,185.00
4/15/2015	NetPrint	Cornell	Business	0415a2	9.17	9.17
4/22/2015	Hard High-Strength 7075 Aluminum 1/4" Thick, 1" Wide, 1/2' Long	McMaster	Task	0422a1	9.83	25.78
4/22/2015	High-Strength Grade 5 Titanium Rod, 1/4" Diameter, 1/2' Long	McMaster	Task	0422a1	10.70	
4/22/2015	Black-Oxide Alloy Steel Socket Head Cap Screw 4-40 Thread, 1-1/4" Length	McMaster	Task	0422a1	5.25	
4/30/2015	Accupro - Corner Radius & Corner Chamfer End Mills Mill Diameter (Inch): 1/4 Mill Diameter (Decimal Inch): 0.2500	MSC	Task	0430a1	53.05	69.82
5/3/2015	CMR Sticker Labels	UPrinting	Business	0503a1	29.08	29.08
5/3/2015	Diolan	Diolan	Electrical	0503a2	217.30	217.30
5/3/2015	Two types of Torsion Springs	McMaster	Drive	0503a3	11.02	16.46
5/8/2015	Logitech HD Webcam C525, Portable HD 720p Video Calling with Autofocus	Amazon	Electrical	0514a1	55.44	55.44
5/11/2015	Soil Sample chemical stock	Cornell	Science	0511a1	25.00	27.66
5/11/2015	Antistatic Bubble bags	McMaster	Electrical	0511a2	18.45	118.02
5/11/2015	Antistatic Bubble bags	McMaster	Electrical	0511a2	19.16	
5/11/2015	High Strength 1144 Medium Carbon Steel Rod Extra-Strength, 1" Diameter	McMaster	Task	0511a2	14.53	
5/11/2015	Alloy Steel Shoulder Screw 5/16" Diameter x 4" Long Shoulder, 1/4"-20 Thread	McMaster	Drive	0511a2	12.78	
5/11/2015	Bracket Type 304 Stainless Steel, 7/8" Length of Sides	McMaster	Drive	0511a2	2.12	
5/11/2015	Precision Music Wire Extension Spring 1.0" Long, .188" OD, .022" Wire Diameter, Zinc-Plated Steel	McMaster	Drive	0511a2	6.56	
5/11/2015	Alloy Steel Button-Head Socket Cap Screw Black-Oxide, 8-32 Thread, 1-3/8" Long	McMaster	Drive	0511a2	11.28	
5/11/2015	Black-Oxide Class 12.9 Socket Head Cap Screw Alloy Steel, M1.6 Thread, 12 mm Long, 0.35mm Pitch	McMaster	Task	0511a2	7.10	
5/12/2015	154:1 Metal Gearmotor 20Dx44L mm	Pololu	Task	0512a1	48.35	48.35
5/12/2015	IC socket, 16 pin	Allied Electronics	Electrical	0512a2	4.40	11.10
5/12/2015	IC socket, 14 pin	Allied Electronics	Electrical	0512a2	6.70	
5/12/2015	10-pin connector	eBay	Electrical	0512a3	5.99	8.31
5/12/2015	Zip Ties 8 inch Qty 1,000 Milky White	Amazon	Electrical	0512a4	16.00	42.17
5/12/2015	URBEST® 6pcs Non­magnetic Steel Fine Curved Tip Tweezers Forceps	Amazon	Electrical	0512a4	7.99	
5/12/2015	2 of Vktech 280Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size	Amazon	Electrical	0512a4	9.09	
5/12/2015	Pratt Polyethylene Perforated Industrial Anti­Static Air Bubble Roll	Amazon	CMR	0512a5	32.73	32.73
5/13/2015	Smart Charger (3.0A) for 25.9V Li-ion/Polymer Rechargeable Battery Pack ( Standard Female Tamiya Plug) 100- 240V --- CE Listed	Batteryspace	Electrical	0513a1	112.77	112.77
5/13/2015	Tamiya Connector Pack, Female	Pololu	Electrical	0513a3	9.00	22.45
5/13/2015	Tamiya Connector Pack, Male	Pololu	Electrical	0513a3	9.00	
5/13/2015	Optoisolator - 4 Channel	SparkFun	Electrical	0513a2	54.75	54.75
5/14/2015	Logitech HD Webcam C525, Portable HD 720p Video Calling with Autofocus	Amazon	Electrical	0514a1	42.99	42.99
5/15/2015	Print Job Thank You Cards	Cornell	Business	0515a1	8.65	8.65
5/15/2015	Envelopes and Stamps	Cornell	Business	0515a2	10.00	10.00
5/15/2015	Intel Next Unit of Computing Kit BOXD34010WYK1 (Black/White)	Amazon	Electrical	0515a3	255.00	286.90
5/15/2015	Columbian Invitation Envelopes, A9, Grip­Seal, 5.75 x 8.75 Inch, White, 100 Per Box (CO468)	Amazon	Business	0515a3	10.65	
5/16/2015	2.4GHz 11dBi RP-SMA Omnidirectional WiFi Antenna	DX	Electrical	0516a1	22.94	22.94
5/18/2015	NetPrint	Cornell	Business	0518a1	2.16	2.16
5/18/2015	Mars Society Payment	Mars Society	CMR	0518a2	175.00	175.00
5/18/2015	University Tickets (Clubfest)	Cornell	CMR	0518a3	12.00	12.00
5/18/2015	Sponsorship Perks Outbound Mail	Cornell	Business	0518a4	36.31	36.31
5/18/2015	Rover Shipment (Antenna Base)	FedEx	CMR	0518a1	52.91	52.91
5/18/2015	Rover Shipment (4 Large Crates)	FedEx	CMR	0518a2	450.42	450.42
5/18/2015	Drive Motor	MidWest	Drive	0518a3	490.00	490.00
5/18/2015	Drive Motor Return Shipping	Cornell	Drive	0518a4	12.95	12.95
12/11/2015	Registration Fee	Mars Society	CMR	0216a1	100.00	100.00
12/15/2015	NetPrint	Cornell	Business	0216a3	8.82	8.82
12/15/2015	Pololu Item	Pololu	Electrical		23.90	23.90
12/15/2015	Pololu Item	Pololu	Electrical		35.85	35.85
12/16/2015	Newegg Item	Newegg	CMR	0216a2	180.53	180.53
12/19/2015	PCB	OSH Park	Electrical	1219a1	375.10	375.10
12/19/2015	PCB	OSH Park	Electrical	1219a2	363.50	363.50
